"","year","Player","Age","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"1",1982,"Adrian Dantley*",0.333333333333333,0.88109756097561,0.82258064516129,0.683397683397683,0.553246753246753,0,0,0.333,0.838461538461538,0.715909090909091,0.563451776649746,0.516853932584269,0.774509803921569,0.765625,0.699386503067485,0.411764705882353,0.234782608695652,0.299435028248588,0.270833333333333,0.285714285714286,0.0357142857142857,0.636363636363636,0.575,0.802898550724638,0.662280701754386,0.683333333333333,0.00226757369614512,0.402210884353741,0.352941176470588,0.184971098265896,0.22140221402214,0.256637168141593,0.185185185185185,0.0188679245283019,0.338078291814947,0.601156069364162,0.803571428571428,0.106382978723404,0.576354679802956,0.552980132450331,0.680851063829787,0.152941176470588,0.398678414096916,0.34593023255814
"2",1982,"Alex English*",0.428571428571429,0.789634146341463,0.758064516129032,0.656370656370656,0.503896103896104,0,0.00757575757575758,0,0.784615384615385,0.689393939393939,0.520304568527919,0.463483146067416,0.431372549019608,0.3984375,0.773006134969325,0.367647058823529,0.295652173913043,0.327683615819209,0.361111111111111,0.257142857142857,0.267857142857143,0.545454545454545,0.6,0.660869565217391,0.574561403508772,0.566666666666667,0.00566893424036281,0.20578231292517,0.357843137254902,0.254335260115607,0.269372693726937,0.334513274336283,0.166666666666667,0.188679245283019,0.327402135231317,0.526011560693642,0.625,0.0957446808510638,0.423645320197044,0.437086092715232,0.617021276595745,0.223529411764706,0.378854625550661,0.293604651162791
"3",1982,"Allen Leavell",0.238095238095238,0.496951219512195,0.298387096774194,0.312741312741313,0.285714285714286,0.0188679245283019,0.0303030303030303,0.29,0.338461538461538,0.340909090909091,0.319796954314721,0.241573033707865,0.137254901960784,0.109375,0.791411042944785,0.0735294117647059,0.0608695652173913,0.0621468926553672,0.395833333333333,0.485714285714286,0.0357142857142857,0.309090909090909,0.375,0.240579710144928,0.320175438596491,0.27,0.0442176870748299,0.107993197278912,0.0980392156862745,0.0895953757225434,0.0627306273062731,0.509734513274336,0.555555555555556,0.0377358490566038,0.405693950177936,0.346820809248555,0.255952380952381,0.25531914893617,0.192118226600985,0.288079470198675,0.333333333333333,0.494117647058824,0.266519823788546,0.101744186046512
"4",1982,"Alvan Adams",0.380952380952381,0.591463414634146,0.435483870967742,0.428571428571429,0.355844155844156,0,0,0,0.476923076923077,0.46969696969697,0.370558375634518,0.303370786516854,0.215686274509804,0.203125,0.682515337423313,0.235294117647059,0.426086956521739,0.361581920903955,0.305555555555556,0.342857142857143,0.178571428571429,0.418181818181818,0.65,0.36231884057971,0.416666666666667,0.343333333333333,0.00113378684807256,0.156462585034014,0.303921568627451,0.491329479768786,0.40590405904059,0.373451327433628,0.351851851851852,0.179245283018868,0.391459074733096,0.453757225433526,0.244047619047619,0.531914893617021,0.310344827586207,0.410596026490066,0.368794326241135,0.611764705882353,0.365638766519824,0.206395348837209
"5",1982,"Alvin Scott",0.333333333333333,0.323170731707317,0.104838709677419,0.108108108108108,0.363636363636364,0,0,0,0.161538461538462,0.15530303030303,0.385786802030457,0.311797752808989,0.117647058823529,0.1171875,0.604294478527607,0.161764705882353,0.139130434782609,0.146892655367232,0.118055555555556,0.142857142857143,0.160714285714286,0.181818181818182,0.325,0.0985507246376812,0.114035087719298,0.4,0.00566893424036281,0.29421768707483,0.28921568627451,0.260115606936416,0.250922509225092,0.176991150442478,0.222222222222222,0.216981132075472,0.505338078291815,0.167630057803468,0.166666666666667,0.319148936170213,0.142857142857143,0.28476821192053,0.205673758865248,0.541176470588235,0.174008810572687,0.0145348837209302
"6",1982,"Artis Gilmore*",0.619047619047619,0.707317073170732,0.459677419354839,0.32046332046332,0.766233766233766,0,0,1,0.492307692307692,0.363636363636364,0.771573604060914,0.75,0.5,0.5,0.662576687116564,0.382352941176471,0.582608695652174,0.519774011299435,0.111111111111111,0.114285714285714,0.482142857142857,0.472727272727273,0.675,0.460869565217391,0.583333333333333,0.92,0.00113378684807256,0.523809523809524,0.446078431372549,0.592485549132948,0.527675276752767,0.115044247787611,0.0740740740740741,0.405660377358491,0.483985765124555,0.361271676300578,0.589285714285714,0.436170212765957,0.551724137931034,0.622516556291391,0.482269503546099,0.505882352941176,0.411894273127753,0.293604651162791
"7",1982,"Bernard King*",0.285714285714286,0.771341463414634,0.67741935483871,0.563706563706564,0.542857142857143,0,0.00757575757575758,0.2,0.707692307692308,0.602272727272727,0.558375634517766,0.508426966292135,0.431372549019608,0.46875,0.565950920245399,0.25,0.295652173913043,0.27683615819209,0.243055555555556,0.228571428571429,0.0535714285714286,0.581818181818182,0.7,0.597101449275362,0.469298245614035,0.58,0.00453514739229025,0.288265306122449,0.235294117647059,0.277456647398844,0.232472324723247,0.246017699115044,0.166666666666667,0.0377358490566038,0.395017793594306,0.526011560693642,0.488095238095238,0.265957446808511,0.38423645320197,0.420529801324503,0.475177304964539,0.282352941176471,0.273127753303965,0.180232558139535
"8",1982,"Bill Cartwright",0.238095238095238,0.539634146341463,0.354838709677419,0.297297297297297,0.532467532467533,0,0,0,0.4,0.340909090909091,0.543147208121828,0.49438202247191,0.343137254901961,0.34375,0.654907975460123,0.220588235294118,0.295652173913043,0.271186440677966,0.0763888888888889,0.142857142857143,0.160714285714286,0.381818181818182,0.525,0.342028985507246,0.315789473684211,0.633333333333333,0,0.376700680272109,0.28921568627451,0.407514450867052,0.335793357933579,0.0884955752212389,0.12962962962963,0.169811320754717,0.451957295373665,0.378612716763006,0.285714285714286,0.223404255319149,0.201970443349754,0.317880794701987,0.297872340425532,0.305882352941176,0.127753303964758,0.00581395348837211
"9",1982,"Billy Knight",0.476190476190476,0.347560975609756,0.298387096774194,0.28957528957529,0.358441558441558,0.0188679245283019,0.0303030303030303,0.281,0.338461538461538,0.318181818181818,0.395939086294416,0.323033707865169,0.274509803921569,0.25,0.751533742331288,0.161764705882353,0.104347826086957,0.124293785310734,0.0972222222222222,0.171428571428571,0.0357142857142857,0.272727272727273,0.2,0.281159420289855,0.333333333333333,0.453333333333334,0.0476190476190476,0.277210884353741,0.259803921568627,0.190751445086705,0.188191881918819,0.166371681415929,0.240740740740741,0.0377358490566038,0.341637010676157,0.479768786127168,0.238095238095238,0.234042553191489,0.167487684729064,0.314569536423841,0.347517730496454,0.294117647058824,0.167400881057269,0.0145348837209302
"10",1982,"Bob Gross",0.428571428571429,0.378048780487805,0.153225806451613,0.138996138996139,0.467532467532468,0.0188679245283019,0.00757575757575758,0.5,0.207692307692308,0.181818181818182,0.482233502538071,0.438202247191011,0.117647058823529,0.1171875,0.634969325153374,0.235294117647059,0.165217391304348,0.192090395480226,0.138888888888889,0.314285714285714,0.125,0.236363636363636,0.475,0.133333333333333,0.206140350877193,0.516666666666667,0.0215419501133787,0.238095238095238,0.387254901960784,0.274566473988439,0.291512915129151,0.185840707964602,0.407407407407407,0.160377358490566,0.551601423487544,0.187861271676301,0.18452380952381,0.202127659574468,0.108374384236453,0.291390728476821,0.290780141843972,0.529411764705882,0.246696035242291,0.0232558139534884
